name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.6,118.1",2022-07-01T00:00:00,69.7,69.7,66.5,89.46,0,0,,0,0,8.7,5.1,191.8,1007,10.6,15,0,,0,3,Clear,clear-night,remote
"36.6,118.1",2022-07-01T01:00:00,69.2,69.2,65.6,88.32,0,0,,0,0,7.2,5.4,191,1007,4.5,15,0,,0,5,Clear,clear-night,remote
"36.6,118.1",2022-07-01T02:00:00,70.4,70.4,70.4,100,0.004,100,rain,0,0,15.7,0,181.1,1007.8,3,1.2,0,,0,10,Rain,rain,54836099999
"36.6,118.1",2022-07-01T03:00:00,68.6,68.6,63.9,85.03,0,0,rain,0,0,3.8,3.8,200.6,1007,1.1,7.1,0,,0,10,Clear,clear-night,remote
"36.6,118.1",2022-07-01T04:00:00,68.1,68.1,63.8,86.08,0,0,,0,0,1.6,1.6,161.7,1008,0.1,15,0,,0,10,Clear,clear-night,remote
"36.6,118.1",2022-07-01T05:00:00,70.1,70.1,70.1,100,0,0,,0,0,13.4,0,136.3,1007.8,0,1.2,0,,0,10,Clear,clear-day,54836099999
"36.6,118.1",2022-07-01T06:00:00,70.4,70.4,63.6,78.96,0,0,,0,0,2.5,2.2,154.1,1008,0,15,46,0.2,0,10,Clear,clear-day,remote
"36.6,118.1",2022-07-01T07:00:00,72.9,72.9,63.8,72.96,0,0,,0,0,2.5,2.2,167.8,1008,0,15,207,0.7,2,10,Clear,clear-day,remote
"36.6,118.1",2022-07-01T08:00:00,71.7,71.7,70.1,94.64,0.004,100,rain,0,0,6.7,4.5,130,1009.5,4.9,0.6,399,1.4,4,10,"Rain, Fog",rain,54836099999
"36.6,118.1",2022-07-01T09:00:00,78.9,78.9,67.2,67.43,0,0,,0,0,3.4,2.2,197.6,1008,5.2,15,581,2.1,6,10,Clear,clear-day,remote
"36.6,118.1",2022-07-01T10:00:00,81.8,84.3,67.2,61.38,0,0,,0,0,4.5,3.1,213.7,1008,5,15,739,2.7,7,30,Clear,clear-day,remote
"36.6,118.1",2022-07-01T11:00:00,82.7,87.1,70.8,67.43,0,0,,0,0,6.7,2.2,30,1008.9,23.1,3.7,857,3.1,9,30,Partially cloudy,partly-cloudy-day,54836099999
"36.6,118.1",2022-07-01T12:00:00,86.3,88.6,66.1,51.16,0,0,,0,0,8.1,6,213.1,1007,8.9,15,919,3.3,9,30,Clear,clear-day,remote
"36.6,118.1",2022-07-01T13:00:00,87.9,90,65.4,47.39,0,0,,0,0,8.7,7.8,218.4,1007,6.6,15,936,3.4,9,30,Clear,clear-day,remote
"36.6,118.1",2022-07-01T14:00:00,85.7,91.7,71.7,63.01,0,0,,0,0,11.2,4.5,180,1007.7,2.5,11.2,892,3.2,9,30,Clear,clear-day,54836099999
"36.6,118.1",2022-07-01T15:00:00,87.9,89.4,64.3,45.64,0,0,,0,0,9.4,8.1,233.8,1007,7.4,15,782,2.8,8,30,Clear,clear-day,remote
"36.6,118.1",2022-07-01T16:00:00,87.9,89,63.6,44.5,0,0,,0,0,9.4,7.6,241.4,1006,21.4,15,640,2.3,6,30,Partially cloudy,partly-cloudy-day,remote
"36.6,118.1",2022-07-01T17:00:00,88.4,92.6,68.6,52.1,0,0,,0,0,13.4,4.5,230,1006.4,83.9,15.5,450,1.6,5,30,Partially cloudy,partly-cloudy-day,54836099999
"36.6,118.1",2022-07-01T18:00:00,85.6,88.5,67.2,54.34,0,0,,0,0,1.1,1.1,44.7,1006,93.3,15,130,0.5,1,30,Overcast,cloudy,remote
"36.6,118.1",2022-07-01T19:00:00,82.7,85.3,67,59.24,0,0,,0,0,2.5,2,80.7,1007,95,15,36,0.1,0,30,Overcast,cloudy,remote
"36.6,118.1",2022-07-01T20:00:00,83,87.9,71.3,67.89,0,0,,0,0,13.4,2.2,250,1007.8,0,8.7,2,0,0,30,Clear,clear-night,54836099999
"36.6,118.1",2022-07-01T21:00:00,78.9,78.9,67.7,68.7,0,0,,0,0,4.5,3.6,166.2,1008,0,15,0,,0,30,Clear,clear-night,remote
"36.6,118.1",2022-07-01T22:00:00,77.3,77.3,68.4,74.29,0,0,,0,0,4.3,3.8,171.9,1008,4.3,15,0,,0,30,Clear,clear-night,remote
"36.6,118.1",2022-07-01T23:00:00,78.2,78.2,71.3,79.56,0,0,,0,0,13.4,0,189.3,1009,3.2,8.1,0,,0,30,Clear,clear-night,54836099999
"36.6,118.1",2022-07-02T00:00:00,76.6,76.6,68.8,77.02,0,0,,0,0,3.6,3.4,181.9,1009,13.6,15,0,,0,30,Clear,clear-night,remote
"36.6,118.1",2022-07-02T01:00:00,75.6,75.6,68.4,78.39,0.012,100,rain,0,0,5.6,4.5,172.6,1008,8.6,15,0,,0,30,Rain,rain,remote
"36.6,118.1",2022-07-02T02:00:00,74.6,74.6,71.3,89.66,0,0,,0,0,13.4,2.2,180,1008.6,0.6,3.7,0,,0,30,Clear,clear-night,54836099999
"36.6,118.1",2022-07-02T03:00:00,72.9,72.9,67.9,84.23,0.008,100,rain,0,0,3.6,3.6,180.8,1008,2.8,15,0,,0,10,Rain,rain,remote
"36.6,118.1",2022-07-02T04:00:00,72.9,72.9,67.9,84.23,0,0,,0,0,3.4,3.1,179.8,1008,2.9,15,0,,0,10,Clear,clear-night,remote
"36.6,118.1",2022-07-02T05:00:00,72.8,72.8,70.4,92.38,0,0,,0,0,11.2,2.2,90,1009.3,0,3.1,0,,0,10,Clear,clear-day,54836099999
"36.6,118.1",2022-07-02T06:00:00,75.3,75.3,69,80.82,0,0,,0,0,3.6,3.1,176.3,1009,0,15,46,0.2,0,30,Clear,clear-day,remote
"36.6,118.1",2022-07-02T07:00:00,78.3,78.3,69.2,73.47,0,0,,0,0,3.4,2.9,178.2,1009,0,15,206,0.7,2,30,Clear,clear-day,remote
"36.6,118.1",2022-07-02T08:00:00,78.9,78.9,69.5,73.08,0,0,rain,0,0,11.2,4.5,90,1009.5,1.8,3.7,398,1.4,4,30,Clear,clear-day,54836099999
"36.6,118.1",2022-07-02T09:00:00,84.3,87.7,68.3,58.72,0,0,,0,0,3.6,2.5,186,1009,0,15,582,2.1,6,30,Clear,clear-day,remote
"36.6,118.1",2022-07-02T10:00:00,86.3,88.8,66.5,51.8,0,0,,0,0,5.1,4.5,203.3,1008,0,15,744,2.7,7,30,Clear,clear-day,remote
"36.6,118.1",2022-07-02T11:00:00,86.3,94.4,74,67.02,0,0,,0,0,11.2,4.5,180,1009,3,7.5,861,3.1,9,30,Clear,clear-day,54836099999
"36.6,118.1",2022-07-02T12:00:00,89.9,92.6,66.3,45.93,0,0,,0,0,5.4,4.9,192.6,1008,35.4,15,927,3.3,9,30,Partially cloudy,partly-cloudy-day,remote
"36.6,118.1",2022-07-02T13:00:00,91.1,94.2,66.5,44.43,0,0,,0,0,6.9,7.4,194.1,1007,91,15,924,3.3,9,30,Overcast,cloudy,remote
"36.6,118.1",2022-07-02T14:00:00,89.3,98.5,74,60.82,0,0,,0,0,11.2,6.7,150,1007.2,100,10.6,442,1.6,4,30,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-02T15:00:00,87.3,90.5,67.4,51.63,0,0,,0,0,10.5,8.7,188.3,1007,100,15,198,0.7,2,30,Overcast,cloudy,remote
"36.6,118.1",2022-07-02T16:00:00,88.2,91.2,66.8,49.25,0,0,,0,0,7.8,7.6,187.3,1006,100,15,411,1.5,4,30,Overcast,cloudy,remote
"36.6,118.1",2022-07-02T17:00:00,87.5,95.3,73.1,62.46,0,0,,0,0,15.7,6.7,110,1006,100,11.2,391,1.4,4,30,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-02T18:00:00,87.7,91.6,68.4,52.97,0,0,,0,0,6.7,3.8,197,1005,90.7,15,208,0.7,2,30,Overcast,cloudy,remote
"36.6,118.1",2022-07-02T19:00:00,83.9,87.9,69.3,61.65,0.004,100,rain,0,0,11.6,6.5,175.8,1006,13.7,15,86,0.3,1,30,Rain,rain,remote
"36.6,118.1",2022-07-02T20:00:00,83,89.7,74,74.36,0,0,,0,0,15.7,4.5,130,1007.1,46.7,8.7,6,0,0,30,Partially cloudy,partly-cloudy-night,54836099999
"36.6,118.1",2022-07-02T21:00:00,78.2,78.2,69.9,75.75,0,0,,0,0,12.5,6.9,165.1,1007,99.9,15,0,,0,30,Overcast,cloudy,remote
"36.6,118.1",2022-07-02T22:00:00,77.6,77.6,70.4,78.55,0.004,100,rain,0,0,11.4,6.7,159.1,1008,100,15,0,,0,30,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-02T23:00:00,79.1,79.1,74,84.6,0,0,,0,0,15.7,4.5,140,1008.5,100,6.2,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-03T00:00:00,75.5,75.5,70.6,84.9,0.008,100,rain,0,0,11.4,6.9,164.7,1008,78.6,15,0,,0,10,"Rain, Partially cloudy",rain,remote
"36.6,118.1",2022-07-03T01:00:00,74.6,74.6,70.6,87.49,0,0,,0,0,12.5,7.2,175.6,1008,100,15,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-03T02:00:00,76.4,76.4,73.1,89.73,0,0,,0,0,15.7,2.2,100,1007.5,98.8,3.7,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-03T03:00:00,74,74,70.4,88.55,0,0,,0,0,11.9,6.7,174.3,1007,100,15,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-03T04:00:00,73.8,73.8,70.4,89.08,0.004,100,rain,0,0,10.1,6.3,180.3,1007,100,14.2,0,,0,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-03T05:00:00,75.3,75.3,73.5,94.15,0,0,,0,0,13.4,2.2,100,1007,100,3.1,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-03T06:00:00,74.2,74.2,70.6,88.55,0.024,100,rain,0,0,8.3,5.6,172.4,1007,100,4.9,25,0.1,0,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-03T07:00:00,76.2,76.2,70.6,82.89,0.035,100,rain,0,0,4.7,4.3,175.3,1007,100,13.6,62,0.2,1,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-03T08:00:00,76.4,76.4,74.4,93.61,0,0,,0,0,13.4,2.2,110,1006.9,100,3.1,63,0.2,1,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-03T09:00:00,80.1,83.3,69.7,70.55,0,0,,0,0,2.7,2.5,163.6,1007,100,15,211,0.8,2,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-03T10:00:00,81.4,84.8,69.3,66.88,0,0,,0,0,3.8,2.9,138.4,1007,100,15,292,1.1,3,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-03T11:00:00,80,80,74.6,83.64,0,0,,0,0,8.9,4.5,120,1007,100,5.6,716,2.6,7,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-03T12:00:00,86.4,90.3,68.6,55.48,0.004,100,rain,0,0,6,5.1,145.7,1006,100,15,683,2.5,7,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-03T13:00:00,84.6,88.9,69.7,60.98,0.008,100,rain,0,0,7.8,9.8,168.5,1005,100,7.7,447,1.6,4,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-03T14:00:00,85.4,93.5,74.4,69.81,0,0,rain,0,0,13.4,6.7,120,1005.6,100,7.5,148,0.5,1,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-03T15:00:00,75.5,75.5,71.9,88.61,0.067,100,rain,0,0,6.5,4.3,196.1,1005,100,2.9,61,0.2,1,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-03T16:00:00,75.6,75.6,71.5,87.01,0.059,100,rain,0,0,5.8,4,151.1,1005,100,15,42,0.2,0,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-03T17:00:00,83.6,89.8,73.1,70.9,0,0,rain,0,0,13.4,4.5,110,1004,100,6.8,90,0.3,1,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-03T18:00:00,75.8,75.8,71.5,86.49,0.004,100,rain,0,0,5.8,4.3,116.8,1005,99.5,14.9,19,0.1,0,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-03T19:00:00,75.6,75.6,71.3,86.48,0.004,100,rain,0,0,5.1,4,122.2,1005,99.5,15,6,0,0,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-03T20:00:00,79.8,79.8,73.1,80.16,0,0,,0,0,13.4,8.9,140,1004.6,99,15.5,3,0,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-03T21:00:00,76,76,71.3,85.45,0,0,,0,0,9.8,5.8,149.1,1004,100,15,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-03T22:00:00,75.1,75.1,71.5,88.6,0,0,,0,0,7.8,5.1,163.1,1005,88.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.6,118.1",2022-07-03T23:00:00,77.1,77.1,72.6,86.04,0,0,,0,0,13.4,4.5,130,1005.1,98.7,8.1,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-04T00:00:00,73.3,73.3,71.3,93.53,0,0,,0,0,9.6,5.8,161.1,1004,30.2,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.6,118.1",2022-07-04T01:00:00,72.9,72.9,70.8,92.95,0,0,,0,0,9.8,5.8,157,1004,100,15,0,,0,3,Overcast,cloudy,remote
"36.6,118.1",2022-07-04T02:00:00,75.8,75.8,72.2,88.63,0,0,rain,0,0,13.4,2.2,110,1004,100,6.2,0,,0,3,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-04T03:00:00,72.2,72.2,70.2,93.5,0.004,100,rain,0,0,9.6,5.4,160.2,1003,100,14.7,0,,0,3,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-04T04:00:00,72.8,72.8,70.4,92.38,0,0,,0,0,8.1,5.1,157.3,1003,100,15,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-04T05:00:00,74.6,74.6,72.6,93.56,0,0,,0,0,13.4,4.5,130,1003.4,100,1.2,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-04T06:00:00,73.8,73.8,70.6,89.63,0,0,,0,0,7.4,4.7,164.6,1003,100,15,18,0.1,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-04T07:00:00,74.9,74.9,71.1,88.05,0,0,rain,0,0,9.4,5.4,173.4,1003,100,15,60,0.2,1,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-04T08:00:00,75.8,75.8,72.8,90.26,0,0,rain,0,0,13.4,2.2,110,1004.4,100,2.5,67,0.2,1,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-04T09:00:00,74.2,74.2,71.7,91.86,0,0,,0,0,8.9,5.6,147.4,1004,100,15,49,0.2,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-04T10:00:00,74.2,74.2,71.5,91.3,0,0,,0,0,10.5,5.8,153.5,1004,99.9,15,36,0.1,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-04T11:00:00,78.9,78.9,73.7,84.08,0,0,,0,0,6.7,0,166.6,1004.3,45.1,6.2,100,0.4,1,10,Partially cloudy,partly-cloudy-day,54836099999
"36.6,118.1",2022-07-04T12:00:00,84.5,88.1,68.6,59.11,0,0,,0,0,13.6,10.3,168.6,1003,14.1,15,846,3,8,10,Clear,clear-day,remote
"36.6,118.1",2022-07-04T13:00:00,86.3,89.8,68.1,54.77,0,0,,0,0,14.8,12.1,167.6,1002,13.4,15,873,3.1,9,10,Clear,clear-day,remote
"36.6,118.1",2022-07-04T14:00:00,81.2,86.7,74,78.83,0,0,,0,0,11.2,6.7,190,1003.6,23.7,10.6,877,3.2,9,10,Partially cloudy,partly-cloudy-day,54836099999
"36.6,118.1",2022-07-04T15:00:00,85.7,90.2,69.7,58.91,0,0,,0,0,16.6,14.3,184.2,1002,44.3,15,724,2.6,7,10,Partially cloudy,partly-cloudy-day,remote
"36.6,118.1",2022-07-04T16:00:00,85.6,90.4,70.2,60.35,0,0,,0,0,15.9,13,198.8,1002,55.9,15,551,2,6,10,Partially cloudy,partly-cloudy-day,remote
"36.6,118.1",2022-07-04T17:00:00,82.1,87.2,72.2,72.06,0,0,rain,0,0,11.2,4.5,170,1003,37.4,14.9,374,1.3,4,10,Partially cloudy,partly-cloudy-day,54836099999
"36.6,118.1",2022-07-04T18:00:00,82.7,87.5,71.5,69.1,0.004,100,rain,0,0,14.1,10.7,190.9,1002,1.4,15,242,0.9,2,10,Rain,rain,remote
"36.6,118.1",2022-07-04T19:00:00,79.6,79.6,71.1,75.42,0.004,100,rain,0,0,13.6,8.1,189.7,1002,0.1,15,97,0.3,1,10,Rain,rain,remote
"36.6,118.1",2022-07-04T20:00:00,78,78,70.4,77.62,0,0,,0,0,13.4,2.2,150,1003.6,0,18.6,5,0,0,10,Clear,clear-night,54836099999
"36.6,118.1",2022-07-04T21:00:00,75.1,75.1,70.6,85.93,0,0,,0,0,9.6,5.8,175.6,1004,0,15,0,,0,10,Clear,clear-night,remote
"36.6,118.1",2022-07-04T22:00:00,74.4,74.4,70.6,88.02,0,0,,0,0,9.6,6,176.4,1004,0,15,0,,0,10,Clear,clear-night,remote
"36.6,118.1",2022-07-04T23:00:00,75.5,75.5,70.1,83.36,0,0,,0,0,13.4,0,171.6,1004.9,0.1,18.6,0,,0,10,Clear,clear-night,54836099999
"36.6,118.1",2022-07-05T00:00:00,73.3,73.3,70.6,91.27,0,0,,0,0,9.4,5.8,168.8,1005,6.5,15,0,,0,10,Clear,clear-night,remote
"36.6,118.1",2022-07-05T01:00:00,72.9,72.9,70.8,92.95,0,0,,0,0,8.9,5.6,168,1004,22.3,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.6,118.1",2022-07-05T02:00:00,74,74,70.8,89.64,0,0,,0,0,13.4,0,170.7,1004.6,100,9.3,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-05T03:00:00,73.1,73.1,70.6,91.83,0,0,,0,0,5.1,4.3,180.2,1004,97.5,15,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T04:00:00,73.1,73.1,70.2,90.71,0,0,,0,0,5.4,4.5,179.2,1004,79.7,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.6,118.1",2022-07-05T05:00:00,73.1,73.1,71.3,94.1,0,0,,0,0,13.4,2.2,140,1004.5,100,3.1,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-05T06:00:00,74.2,74.2,70.4,88.01,0,0,,0,0,6.3,4.5,179.7,1004,76.9,15,36,0.1,0,10,Partially cloudy,partly-cloudy-day,remote
"36.6,118.1",2022-07-05T07:00:00,76.9,76.9,70.8,81.43,0,0,,0,0,6.5,4.7,166.4,1004,100,15,179,0.6,2,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T08:00:00,78.9,78.9,72.2,80.1,0,0,,0,0,6.7,2.2,100,1004.1,100,4.3,137,0.5,1,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-05T09:00:00,78,78,70.4,77.62,0,0,,0,0,7.6,5.6,181.4,1004,100,15,166,0.6,2,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T10:00:00,79.8,79.8,70.4,73.16,0,0,,0,0,7.2,5.4,178.4,1004,100,15,332,1.2,3,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T11:00:00,82.1,87,71.9,71.19,0,0,,0,0,8.9,4.5,140,1003.7,100,6.2,267,1,3,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-05T12:00:00,77.4,77.4,71.3,81.47,0,0,rain,0,0,8.1,6.5,188.6,1004,100,14.9,103,0.4,1,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T13:00:00,76.2,76.2,71.3,84.94,0,0,rain,0,0,9.4,6.3,173.5,1003,100,15,102,0.4,1,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T14:00:00,80,80,74.6,83.64,0,0,rain,0,0,11.2,4.5,120,1003,100,3.7,80,0.3,1,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-05T15:00:00,75.8,75.8,70.6,83.89,0,0,rain,0,0,12.1,5.8,157.1,1003,100,15,67,0.2,1,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T16:00:00,74,74,70.6,89.09,0,0,rain,0,0,9.8,4.9,167.7,1003,100,14.8,28,0.1,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T17:00:00,78,78,75.8,93.09,0.02,100,rain,0,0,11.2,4.5,120,1001.8,100,3.1,24,0.1,0,10,"Rain, Overcast",rain,54836099999
"36.6,118.1",2022-07-05T18:00:00,72.4,72.4,70.4,93.51,0,0,rain,0,0,9.4,4.3,137.9,1003,100,5.5,19,0.1,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T19:00:00,72.2,72.2,69.9,92.36,0,0,rain,0,0,5.4,2.9,108.6,1003,100,15,5,0,0,3,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T20:00:00,76.7,76.7,74,91.39,0,0,,0,0,11.2,4.5,80,1002.5,100,7.5,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-05T21:00:00,73.1,73.1,70.1,90.15,0,0,rain,0,0,3.4,2.9,64.1,1003,100,15,0,,0,3,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T22:00:00,73.3,73.3,70.6,91.27,0,0,,0,0,3.1,2.2,52.8,1003,100,15,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-05T23:00:00,74.9,74.9,73.5,95.29,0.035,100,rain,0,0,11.2,4.5,70,1002.9,100,3.7,0,,0,10,"Rain, Overcast",rain,54836099999
"36.6,118.1",2022-07-06T00:00:00,72.8,72.8,71.3,95.25,0,0,rain,0,0,3.4,2.7,63.7,1002,100,11.9,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-06T01:00:00,72.2,72.2,70.8,95.24,0,0,rain,0,0,17.7,4.9,93.2,1001,100,2.9,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-06T02:00:00,73.5,73.5,73.1,98.8,0.161,100,rain,0,0,11.2,2.2,90,1000.8,100,2.5,0,,0,10,"Rain, Overcast",rain,54836099999
"36.6,118.1",2022-07-06T03:00:00,71.9,71.9,70.2,94.65,0,0,rain,0,0,24.8,9.4,92.1,1000,100,2.6,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-06T04:00:00,71.5,71.5,70.1,95.22,0,0,rain,0,0,29.3,13.6,91.9,999,100,1.2,0,,0,3,Overcast,cloudy,remote
"36.6,118.1",2022-07-06T05:00:00,73.1,73.1,73.1,100,0.547,100,rain,0,0,11.2,4.5,60,999.5,100,1.9,0,,0,10,"Rain, Overcast",rain,54836099999
"36.6,118.1",2022-07-06T06:00:00,71.7,71.7,70.6,96.4,0,0,rain,0,0,27.1,11.6,88.4,999,100,0.6,0,,0,10,Overcast,fog,remote
"36.6,118.1",2022-07-06T07:00:00,71.5,71.5,70.6,96.99,0,0,rain,0,0,28.2,13,68.1,998,100,2.2,4,0,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-06T08:00:00,73.7,73.7,73.7,100,1.303,100,rain,0,0,11.2,4.5,70,998.3,100,1.9,6,0,0,10,"Rain, Overcast",rain,54836099999
"36.6,118.1",2022-07-06T09:00:00,71.5,71.5,71.1,98.79,0,0,rain,0,0,2.7,2.7,289.6,999,100,1,3,0,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-06T10:00:00,72.1,72.1,71.7,98.79,0,0,rain,0,0,4.5,3.8,295.7,999,100,0.1,16,0.1,0,10,Overcast,fog,remote
"36.6,118.1",2022-07-06T11:00:00,77.1,77.1,76.7,98.81,0.626,100,rain,0,0,13.4,4.5,100,997.6,100,2.5,19,0.1,0,10,"Rain, Overcast",rain,54836099999
"36.6,118.1",2022-07-06T12:00:00,71,71,70.6,98.78,0,0,rain,0,0,11.9,6,335.1,1000,100,0.1,15,0.1,0,10,Overcast,fog,remote
"36.6,118.1",2022-07-06T13:00:00,71.5,71.5,71,98.18,0,0,rain,0,0,12.8,4.9,346.2,999,100,0,37,0.1,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-06T14:00:00,78.9,78.9,77.6,95.93,0.988,100,rain,0,0,13.4,2.2,30,996.3,100,12.4,33,0.1,0,10,"Rain, Overcast",rain,54836099999
"36.6,118.1",2022-07-06T15:00:00,72.4,72.4,72.1,98.79,0,0,rain,0,0,18.3,6.3,335.6,998,100,0.1,17,0.1,0,10,Overcast,fog,remote
"36.6,118.1",2022-07-06T16:00:00,71.9,71.9,71.5,98.79,0,0,rain,0,0,17.2,6.3,333.8,998,100,0.1,10,0,0,10,Overcast,fog,remote
"36.6,118.1",2022-07-06T17:00:00,78.9,78.9,72.8,81.57,0,0,rain,0,0,17.9,6.7,310,997.1,100,18.6,9,0,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-06T18:00:00,71.9,71.9,71.1,97.59,0,0,rain,0,0,20.8,8.1,355.5,999,100,0.1,4,0,0,10,Overcast,fog,remote
"36.6,118.1",2022-07-06T19:00:00,71.7,71.7,71.3,98.79,0,0,rain,0,0,19.2,8.3,348.3,999,100,0.2,8,0,0,10,Overcast,fog,remote
"36.6,118.1",2022-07-06T20:00:00,76.4,76.4,71,83.41,0,0,rain,0,0,17.9,2.2,300,999.2,100,18.6,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-06T21:00:00,71.3,71.3,70.6,97.58,0,0,rain,0,0,20.8,9.6,339.6,1001,100,0.6,0,,0,10,Overcast,fog,remote
"36.6,118.1",2022-07-06T22:00:00,71.3,71.3,70.8,98.18,0,0,,0,0,19.2,7.6,336.7,1001,100,0.3,0,,0,10,Overcast,fog,remote
"36.6,118.1",2022-07-06T23:00:00,74,74,72.8,95.85,0,0,rain,0,0,17.9,4.5,270,1000.6,100,11.8,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-07T00:00:00,71,71,70.2,97.58,0.004,100,rain,0,0,13,5.4,334.5,1001,100,0.4,0,,0,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-07T01:00:00,70.8,70.8,70.1,97.58,0.004,100,rain,0,0,11.9,4.5,319.9,1001,99.9,1.9,0,,0,10,"Rain, Overcast",rain,remote
"36.6,118.1",2022-07-07T02:00:00,75.8,75.8,71,84.92,0,0,rain,0,0,17.9,2.2,300,1001.2,99.4,18.6,0,,0,10,Overcast,cloudy,54836099999
"36.6,118.1",2022-07-07T03:00:00,70.8,70.8,69.5,95.8,0,0,rain,0,0,13,4.9,316.3,1002,100,15,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-07T04:00:00,70.2,70.2,68.6,94.61,0,0,,0,0,14.1,4.5,310.1,1002,97.3,15,0,,0,10,Overcast,cloudy,remote
"36.6,118.1",2022-07-07T05:00:00,73.7,73.7,71.9,94.11,0,0,,0,0,17.9,4.5,270,1002.6,55.2,7.5,0,,0,10,Partially cloudy,partly-cloudy-day,54836099999
"36.6,118.1",2022-07-07T06:00:00,70.4,70.4,68.6,94.03,0,0,,0,0,16.6,3.8,313,1003,44.9,15,34,0.1,0,10,Partially cloudy,partly-cloudy-day,remote
"36.6,118.1",2022-07-07T07:00:00,72.2,72.2,68.4,87.92,0,0,,0,0,10.5,3.8,312.9,1003,27,15,172,0.6,2,10,Partially cloudy,partly-cloudy-day,remote
