name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"35.9,119.66",2022-07-01T00:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,4.9,4.5,130,1007,50,6.2,0,,0,5,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T01:00:00,75.2,75.2,75.2,100,0,0,,0,0,8.9,4.5,140,1007,0,3.7,0,,0,10,Clear,clear-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T02:00:00,73.6,73.6,72.6,96.74,0,0,,0,0,19.4,4.4,224,1007.2,68.8,5.3,0,,0,5,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-01T03:00:00,75.2,75.2,75.2,100,0,0,rain,0,0,8.5,6.7,150,1007,50,3.1,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T04:00:00,75.2,75.2,75.2,100,0,0,,0,0,4.5,11.2,160,1007,89,4.3,0,,0,5,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T05:00:00,74,74,73.9,99.55,0,0,,0,0,16.4,5.5,90,1007.9,88,4,0,,0,5,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-01T06:00:00,75.2,75.2,75.2,100,0,0,rain,0,0,6.7,11.2,160,1008,89,6.2,57,0.2,1,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T07:00:00,77,77,75.2,94.19,0,0,,0,0,4.5,11.2,170,1008,89,6.2,161,0.6,2,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T08:00:00,77.9,77.9,75.5,92.23,0,0,,0,0,14.9,5.2,197,1008.9,88,7.6,165,0.6,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-01T09:00:00,82.4,90.9,77,83.79,0,0,,0,0,8.3,8.9,180,1008,89,6.2,249,0.9,2,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T10:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,8.3,8.9,150,1008,89,6.2,547,2,5,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T11:00:00,82.2,90.2,76.8,83.75,0,0,,0,0,16.4,8.4,170,1008.8,25,7.1,862,3.1,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-01T12:00:00,84.2,96.1,78.8,83.9,0,0,,0,0,11.4,13.4,160,1008,27.5,6.2,926,3.3,9,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T13:00:00,84.2,94.2,77,79.06,0,0,,0,0,13.4,15.7,160,1008,27.5,6.2,930,3.3,9,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T14:00:00,81.7,89,76.5,84.3,0,0,,0,0,16.4,8.2,136,1008,25,4.8,877,3.2,9,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-01T15:00:00,82.4,90.9,77,83.79,0,0,,0,0,14.5,15.7,150,1007,50,6.2,770,2.8,8,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T16:00:00,80.6,87.1,77,88.84,0,0,,0,0,14.5,13.4,160,1007,27.5,6.2,621,2.2,6,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T17:00:00,78.6,78.6,76.4,92.94,0,0,,0,0,18.6,8.9,160,1007.6,25,7.3,442,1.6,4,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-01T18:00:00,78.8,78.8,77,94.23,0,0,,0,0,16.6,8.9,130,1007,50,6.2,252,0.9,3,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T19:00:00,77,77,77,100,0,0,,0,0,16.8,13.4,140,1008,89,6.2,80,0.3,1,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T20:00:00,76.9,76.9,76.1,97.18,0,0,,0,0,18.6,4.5,137,1008.5,88,7,2,0,0,30,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-01T21:00:00,77,77,77,100,0,0,,0,0,14.5,11.2,150,1009,89,5,0,,0,30,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T22:00:00,77,77,77,100,0,0,,0,0,14.1,4.5,150,1009,89,5.6,0,,0,30,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-01T23:00:00,76.1,76.1,74.8,95.52,0.055,100,rain,0,0,18.6,3.3,100,1009.2,88,5,0,,0,30,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-02T00:00:00,73.4,73.4,71.6,94.11,0,0,,0,0,17,13.4,140,1009,89,6.2,0,,0,8,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T01:00:00,73.4,73.4,71.6,94.11,0,0,,0,0,17.2,8.9,140,1009,50,6.2,0,,0,8,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T02:00:00,72.6,72.6,72.2,98.64,1.497,100,rain,0,0,21.6,8.9,19,1008.4,50,3.7,0,,0,8,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-02T03:00:00,73.4,73.4,71.6,94.11,0,0,,0,0,13.9,13.4,160,1008,40.2,6.2,0,,0,8,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T04:00:00,73.4,73.4,71.6,94.11,0,0,,0,0,11.9,6.7,170,1009,37.9,6.2,0,,0,8,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T05:00:00,70.8,70.8,69.6,95.89,0.16,100,rain,0,0,32.9,7.2,135,1010,25,10.2,0,,0,8,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-02T06:00:00,71.6,71.6,71.6,100,0,0,,0,0,12.1,11.2,160,1010,27.5,6.2,46,0.2,0,8,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T07:00:00,73.4,73.4,71.6,94.11,0,0,,0,0,11.2,15.7,160,1010,50,6.2,189,0.7,2,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T08:00:00,76.2,76.2,72,86.88,0,0,,0,0,32.9,5.9,113,1010.4,25,15.6,379,1.4,4,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-02T09:00:00,77,77,73.4,88.68,0,0,,0,0,12.1,13.4,160,1009,27.5,6.2,405,1.5,4,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T10:00:00,80.6,85.3,73.4,78.78,0,0,,0,0,13.2,13.4,160,1009,27.5,6.2,672,2.4,7,60,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T11:00:00,78.8,78.8,75.1,88.35,0.007,100,rain,0,0,32.9,7.8,142,1010.4,50,12.2,859,3.1,9,60,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-02T12:00:00,82.4,90.9,77,83.79,0,0,,0,0,14.5,15.7,160,1010,50,6.2,910,3.3,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T13:00:00,82.4,92.4,78.8,88.92,0,0,,0,0,14.3,15.7,160,1009,50,6.2,926,3.3,9,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T14:00:00,78.8,78.8,76.7,93.54,0,0,,0,0,32.9,9.1,153,1009.5,25,10.5,870,3.1,9,60,Partially cloudy,partly-cloudy-day,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-02T15:00:00,82.4,92.4,78.8,88.92,0,0,,0,0,14.8,15.7,150,1008,27.5,6.2,746,2.7,7,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T16:00:00,80.6,87.1,77,88.84,0,0,,0,0,15,20.1,160,1008,50,6.2,610,2.2,6,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T17:00:00,76.9,76.9,75.1,94.1,0,0,,0,0,19.4,11.1,127,1008.2,88,9.8,430,1.5,4,30,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-02T18:00:00,77,77,75.2,94.19,0,0,,0,0,17.9,17.9,150,1007,89,6.2,228,0.8,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T19:00:00,75.2,75.2,75.2,100,0,0,,0,0,21.5,15.7,150,1008,100,6.2,77,0.3,1,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T20:00:00,74.4,74.4,73.8,97.9,0,0,,0,0,18.6,11.9,141,1008.5,100,6.4,3,0,0,3,Overcast,cloudy,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-02T21:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,24.6,11.2,160,1009,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T22:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,24.8,15.7,160,1009,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-02T23:00:00,74.8,74.8,74,97.2,0,0,,0,0,18.6,8.4,126,1009.5,100,6.1,0,,0,3,Overcast,cloudy,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-03T00:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,24.4,8.9,160,1009,89,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T01:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,24.4,8.9,160,1009,89,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T02:00:00,73.1,73.1,73.8,100,0,0,,0,0,18.6,6.9,142,1008.5,88,5,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-03T03:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,20.8,11.2,140,1008,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T04:00:00,75.2,75.2,73.4,94.15,0,0,,0,0,18.6,8.9,140,1007,89,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T05:00:00,74.6,74.6,73.8,97.37,0,0,,0,0,16.4,6.7,117,1008.2,88,4,0,,0,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-03T06:00:00,75.2,75.2,75.2,100,0,0,,0,0,19.7,8.9,140,1008,89,6.2,32,0.1,0,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T07:00:00,77,77,75.2,94.19,0,0,,0,0,17.7,11.2,150,1008,89,6.2,151,0.5,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T08:00:00,73.7,73.7,74.4,100,0,0,,0,0,16.4,8.3,104,1008.1,88,7.3,315,1.1,3,10,Partially cloudy,partly-cloudy-day,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-03T09:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,13.9,15.7,150,1007,89,6.2,470,1.7,5,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T10:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,13.4,11.2,160,1007,89,6.2,660,2.4,7,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T11:00:00,75.7,75.7,74.4,95.94,0,0,,0,0,17.9,10.6,133,1007.9,88,5.8,777,2.8,8,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-03T12:00:00,77,77,75.2,94.19,0,0,,0,0,15.2,15.7,150,1008,100,6.2,885,3.2,9,10,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T13:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,15.4,11.2,170,1007,100,6.2,844,3,8,10,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T14:00:00,79.2,79.2,74.8,86.49,0,0,,0,0,17.9,7.9,163,1007.2,100,5.4,786,2.8,8,10,Overcast,cloudy,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-03T15:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,14.8,11.2,160,1006,89,6.2,644,2.3,6,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T16:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,14.8,13.4,170,1006,89,6.2,514,1.9,5,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T17:00:00,76.2,76.2,74.5,94.4,0,0,,0,0,17.9,8.9,115,1005.6,88,4,360,1.3,4,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-03T18:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,13.9,11.2,150,1005,89,6.2,204,0.7,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T19:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,15.7,11.2,140,1005,89,6.2,60,0.2,1,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T20:00:00,75.1,75.1,74.2,97.08,0,0,,0,0,17.9,8.9,120,1005.9,88,2.8,2,0,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-03T21:00:00,77,77,75.2,94.19,0,0,,0,0,20.4,6.7,160,1006,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T22:00:00,77,77,75.2,94.19,0,0,,0,0,21.5,8.9,140,1005,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-03T23:00:00,74.9,74.9,74.2,97.81,0,0,,0,0,17.9,7.3,122,1005.9,100,4.5,0,,0,3,Overcast,cloudy,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-04T00:00:00,77,77,75.2,94.19,0,0,,0,0,20.6,8.9,160,1005,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T01:00:00,77,77,75.2,94.19,0,0,,0,0,18.6,11.2,150,1005,100,6.2,0,,0,10,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T02:00:00,74,74,74.5,100,0,0,,0,0,17.9,5.7,99,1004.8,100,3.4,0,,0,3,Overcast,cloudy,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-04T03:00:00,75.2,75.2,75.2,100,0,0,,0,0,18.6,11.2,160,1004,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T04:00:00,77,77,75.2,94.19,0,0,,0,0,17.4,11.2,160,1004,100,6.2,0,,0,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T05:00:00,74.6,74.6,74.5,99.7,0,0,,0,0,17.9,7.3,116,1004.2,100,2.8,0,,0,3,Overcast,cloudy,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-04T06:00:00,75.2,75.2,75.2,100,0,0,,0,0,18.8,11.2,160,1004,89,6.2,45,0.2,0,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T07:00:00,77,77,75.2,94.19,0,0,,0,0,16.3,11.2,150,1004,89,6.2,174,0.6,2,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T08:00:00,75.5,75.5,74.6,97.04,0,0,,0,0,14.2,6.7,128,1005,88,3.2,351,1.3,4,10,Partially cloudy,partly-cloudy-day,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-04T09:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,11.4,13.4,160,1004,89,6.2,494,1.8,5,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T10:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,11.4,11.2,160,1004,89,6.2,653,2.4,7,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T11:00:00,76.3,76.3,75.2,96.4,0.008,100,rain,0,0,14.2,6,127,1004.8,88,3.7,600,2.2,6,10,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-04T12:00:00,78.8,78.8,75.2,88.76,0,0,rain,0,0,11.4,11.2,150,1004,50,6.2,337,1.2,3,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T13:00:00,80.6,86.2,75.2,83.68,0,0,,0,0,15.4,13.4,170,1004,50,6.2,69,0.2,1,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T14:00:00,77.7,77.7,75.6,93.22,0,0,,0,0,14.2,6.5,157,1004.4,50,7.8,86,0.3,1,10,Partially cloudy,partly-cloudy-day,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-04T15:00:00,80.6,86.2,75.2,83.68,0,0,,0,0,14.8,8.9,160,1004,50,6.2,109,0.4,1,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T16:00:00,80.6,86.2,75.2,83.68,0,0,,0,0,15.2,8.9,150,1003,50,6.2,594,2.1,6,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T17:00:00,76.5,76.5,75,95.1,0,0,,0,0,14.2,6.1,130,1003.6,25,6.8,288,1,3,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-04T18:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,16.3,8.9,140,1003,100,6.2,99,0.4,1,10,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T19:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,12.1,6.7,160,1003,99.9,6.2,34,0.1,0,10,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T20:00:00,74.6,74.6,74.5,99.74,0,0,,0,0,14.2,8.9,115,1003.9,99.6,3.8,2,0,0,10,Overcast,cloudy,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-04T21:00:00,77,77,75.2,94.19,0,0,,0,0,11.4,6.7,170,1004,100,6.2,0,,0,10,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T22:00:00,77,77,75.2,94.19,0,0,,0,0,10.3,4.5,180,1005,89,6.2,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-04T23:00:00,75,75,74.4,98.25,0,0,,0,0,14.2,5,113,1005.4,88,2,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-05T00:00:00,77,77,75.2,94.19,0,0,,0,0,13.2,6.7,150,1005,89,6.2,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T01:00:00,77,77,75.2,94.19,0,0,,0,0,10.5,6.7,170,1005,89,6.2,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T02:00:00,74.4,74.4,74.4,100,0,0,,0,0,11.9,5.9,141,1005.2,88,2.3,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-05T03:00:00,77,77,75.2,94.19,0,0,,0,0,12.5,8.9,150,1004,89,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T04:00:00,77,77,75.2,94.19,0,0,,0,0,10.5,6.7,160,1004,89,6.2,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T05:00:00,74.8,74.8,74.6,99.26,0,0,,0,0,11.9,5,96,1004.7,25,3.4,0,,0,5,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-05T06:00:00,77,77,77,100,0,0,,0,0,12.1,4.5,150,1004,50,5,36,0.1,0,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T07:00:00,77,77,75.2,94.19,0,0,,0,0,11.6,6.7,160,1004,89,6.2,154,0.6,2,3,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T08:00:00,75.1,75.1,75.3,100,0,0,,0,0,11.9,7.7,161,1004.6,88,3.4,292,1.1,3,3,Partially cloudy,partly-cloudy-day,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-05T09:00:00,80.6,86.2,75.2,83.68,0,0,,0,0,10.5,8.9,170,1004,89,6.2,561,2,6,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T10:00:00,80.6,86.2,75.2,83.68,0,0,,0,0,10.5,11.2,160,1004,89,6.2,727,2.6,7,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T11:00:00,77.4,77.4,75.8,94.85,0,0,,0,0,15.7,9.5,135,1004.5,88,4.1,619,2.2,6,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-05T12:00:00,82.4,90.9,77,83.79,0,0,,0,0,12.1,11.2,170,1004,100,6.2,266,1,3,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T13:00:00,82.4,90.9,77,83.79,0,0,,0,0,11.4,13.4,170,1004,89,6.2,798,2.9,8,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T14:00:00,80.5,86.4,76,86.13,0,0,,0,0,17.9,8.5,152,1003.7,88,7.8,789,2.8,8,10,Partially cloudy,partly-cloudy-day,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-05T15:00:00,82.4,89.5,75.2,78.92,0,0,,0,0,12.3,11.2,160,1003,50,6.2,106,0.4,1,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T16:00:00,82.4,89.5,75.2,78.92,0,0,rain,0,0,12.5,13.4,160,1003,89,6.2,34,0.1,0,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T17:00:00,77.6,77.6,75.3,92.63,0,0,,0,0,17.9,8.9,105,1002.5,100,6.5,71,0.3,1,10,Overcast,cloudy,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-05T18:00:00,80.6,86.2,75.2,83.68,0,0,,0,0,13.4,8.9,140,1002,27.5,6.2,93,0.3,1,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T19:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,15.9,6.7,140,1003,100,6.2,10,0,0,3,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T20:00:00,75.4,75.4,75.2,99.25,0,0,,0,0,17.9,9.2,48,1003,100,6.8,2,0,0,3,Overcast,cloudy,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-05T21:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,18.6,8.9,140,1004,27.5,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T22:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,20.6,6.7,130,1003,50,6.2,0,,0,5,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-05T23:00:00,76.6,76.6,75.2,95.4,0.005,100,rain,0,0,18.6,8.9,100,1003.5,88,6.8,0,,0,3,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-06T00:00:00,78.8,78.8,75.2,88.76,0,0,rain,0,0,22.6,8.9,140,1003,89,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-06T01:00:00,78.8,78.8,75.2,88.76,0,0,,0,0,21.5,8.9,130,1002,89,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-06T02:00:00,76.2,76.2,75.1,96.28,0,0,rain,0,0,23.1,11.7,103,1001.1,88,5.4,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-06T03:00:00,78.8,78.8,75.2,88.76,0,0,rain,0,0,22.1,4.5,100,1001,89,6.2,0,,0,10,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-06T04:00:00,78.8,78.8,75.2,88.76,0,0,rain,0,0,24.8,6.7,90,1001,89,6.2,0,,0,3,Partially cloudy,partly-cloudy-night,"54857099999,ZSQD"
"35.9,119.66",2022-07-06T05:00:00,76.4,76.4,76.2,99.26,0.582,100,rain,0,0,24.6,11.2,73,1000.3,88,2.8,0,,0,3,"Rain, Partially cloudy",rain,"54857099999,ZSQD,54945099999"
"35.9,119.66",2022-07-06T06:00:00,78.8,78.8,77,94.23,0,0,rain,0,0,25.9,6.7,80,1000,89,6.2,8,0,0,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-06T07:00:00,78.8,78.8,77,94.23,0,0,rain,0,0,25.1,6.7,100,1000,100,6.2,23,0.1,0,10,Overcast,cloudy,"54857099999,ZSQD"
"35.9,119.66",2022-07-06T08:00:00,76.7,76.7,76.3,98.82,0,0,rain,0,0,24.6,10.7,116,999.7,100,2,40,0.1,0,10,Overcast,cloudy,"54857099999,HPUO,ZSQD,54945099999"
"35.9,119.66",2022-07-06T09:00:00,82.4,92.4,78.8,88.92,0,0,rain,0,0,23,6.7,130,999,89,6.2,108,0.4,1,10,Partially cloudy,partly-cloudy-day,"54857099999,ZSQD"
"35.9,119.66",2022-07-06T10:00:00,80.6,88.2,78.8,94.27,0,0,,0,0,23,13.4,140,999,100,6.2,148,0.5,1,10,Overcast,cloudy,"54857099999,ZSQD"
