name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.19,119.05",2022-07-01T00:00:00,70.4,70.4,68.4,93.46,0,0,,0,0,8.7,4.7,151.9,1007,98.9,15,0,,0,3,Overcast,cloudy,remote
"36.19,119.05",2022-07-01T01:00:00,70.2,70.2,68.4,94.03,0,0,,0,0,13.9,5.1,183.3,1007,33,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-01T02:00:00,71.9,71.9,70.4,95.23,0,0,,0,0,33.6,2.2,110,1007.2,40.9,3.7,0,,0,3,Partially cloudy,partly-cloudy-night,54843099999
"36.19,119.05",2022-07-01T03:00:00,70.1,70.1,68.1,93.45,0,0,,0,0,7.6,4.3,179.8,1007,21.1,10.1,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-01T04:00:00,69.2,69.2,67.7,95.18,0,0,,0,0,4.7,4.3,206.3,1007,24.5,10.6,0,,0,5,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-01T05:00:00,71.3,71.3,71,98.79,0,0,rain,0,0,17.9,2.2,140,1007.4,100,1.9,0,,0,3,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-01T06:00:00,70.2,70.2,67.9,92.3,0,0,rain,0,0,1.6,1.8,231.8,1008,18.1,4.3,50,0.2,1,5,Clear,clear-day,remote
"36.19,119.05",2022-07-01T07:00:00,71.9,71.9,68.6,89.55,0,0,rain,0,0,4.7,4.3,162,1009,100,8.9,215,0.8,2,3,Overcast,cloudy,remote
"36.19,119.05",2022-07-01T08:00:00,78,78,72.8,84.02,0,0,,0,0,13.4,6.7,180,1008.4,16.5,4.3,358,1.3,4,10,Clear,clear-day,54843099999
"36.19,119.05",2022-07-01T09:00:00,77.6,77.6,70.6,79.03,0,0,,0,0,5.4,4.9,174.7,1009,5.3,15,585,2.1,6,10,Clear,clear-day,remote
"36.19,119.05",2022-07-01T10:00:00,80.3,84,71.1,73.66,0,0,,0,0,5.8,5.4,177.2,1008,0.7,15,744,2.7,7,30,Clear,clear-day,remote
"36.19,119.05",2022-07-01T11:00:00,86.3,93.1,72.6,63.85,0,0,,0,0,11.2,4.5,160,1008.6,0.5,9.9,861,3.1,9,30,Clear,clear-day,54843099999
"36.19,119.05",2022-07-01T12:00:00,85.2,91,71.7,64.11,0,0,,0,0,9.4,7.2,184.2,1008,2.7,15,926,3.3,9,30,Clear,clear-day,remote
"36.19,119.05",2022-07-01T13:00:00,87,92.7,71,59.07,0,0,,0,0,10.7,8.1,190.1,1007,6.7,15,931,3.4,9,30,Clear,clear-day,remote
"36.19,119.05",2022-07-01T14:00:00,89.9,96.2,71,53.93,0,0,,0,0,11.2,4.5,200,1006.9,34.7,18,881,3.2,9,60,Partially cloudy,partly-cloudy-day,54843099999
"36.19,119.05",2022-07-01T15:00:00,89,94.8,70.6,54.81,0,0,,0,0,12.8,9.4,207.6,1007,42.1,15,761,2.7,8,60,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-01T16:00:00,89,94.5,70.2,54.14,0,0,,0,0,12.1,8.9,207.3,1006,56.7,15,586,2.1,6,60,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-01T17:00:00,91.1,97.2,70.4,50.9,0,0,,0,0,11.2,4.5,260,1005.9,97.6,18.6,375,1.3,4,60,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-01T18:00:00,84.3,90.4,72.6,68.02,0,0,,0,0,8.9,5.4,185.5,1006,100,15,103,0.4,1,60,Overcast,cloudy,remote
"36.19,119.05",2022-07-01T19:00:00,81.8,86.6,72.2,72.9,0,0,,0,0,9.6,7.2,155.7,1006,99.5,15,17,0.1,0,60,Overcast,cloudy,remote
"36.19,119.05",2022-07-01T20:00:00,71.9,71.9,69,90.66,1.929,100,rain,0,0,29.1,4.5,60,1009,14.4,18.6,1,0,0,60,Rain,rain,54843099999
"36.19,119.05",2022-07-01T21:00:00,77.8,77.8,72.9,85.04,0,0,,0,0,9.2,5.8,151.9,1008,0,15,0,,0,60,Clear,clear-night,remote
"36.19,119.05",2022-07-01T22:00:00,76.9,76.9,72.2,85.51,0,0,rain,0,0,7.8,5.4,156.8,1008,0,15,0,,0,60,Clear,clear-night,remote
"36.19,119.05",2022-07-01T23:00:00,75.8,75.8,73.7,93.03,0.591,100,rain,0,0,29.1,2.2,90,1008.1,0,5.6,0,,0,30,Rain,rain,54843099999
"36.19,119.05",2022-07-02T00:00:00,76.2,76.2,72.2,87.57,0,0,,0,0,6.9,5.1,158.3,1009,0,15,0,,0,30,Clear,clear-night,remote
"36.19,119.05",2022-07-02T01:00:00,75.3,75.3,71.9,89.14,0.008,100,rain,0,0,6.3,5.1,172.3,1009,19.6,15,0,,0,30,Rain,rain,remote
"36.19,119.05",2022-07-02T02:00:00,76.4,76.4,72.2,87.05,0,0,,0,0,29.1,4.5,150,1008.5,0,12.4,0,,0,30,Clear,clear-night,54843099999
"36.19,119.05",2022-07-02T03:00:00,75.6,75.6,71,85.43,0,0,,0,0,4.7,4.7,201.6,1008,0,15,0,,0,30,Clear,clear-night,remote
"36.19,119.05",2022-07-02T04:00:00,75.3,75.3,70.6,85.41,0,0,,0,0,3.8,3.8,205,1008,0,15,0,,0,30,Clear,clear-night,remote
"36.19,119.05",2022-07-02T05:00:00,74,74,71,90.19,0,0,,0,0,29.1,2.2,170,1008.6,0,9.9,0,,0,30,Clear,clear-day,54843099999
"36.19,119.05",2022-07-02T06:00:00,76.6,76.6,71.1,83.42,0,0,,0,0,5.1,3.8,216,1008,0,15,52,0.2,1,30,Clear,clear-day,remote
"36.19,119.05",2022-07-02T07:00:00,79.4,79.4,71.5,76.8,0,0,,0,0,5.6,3.4,211.2,1009,0,15,215,0.8,2,30,Clear,clear-day,remote
"36.19,119.05",2022-07-02T08:00:00,79.4,79.4,72.8,80.14,0,0,,0,0,15.7,4.5,170,1009.1,0,14.9,405,1.5,4,60,Clear,clear-day,54843099999
"36.19,119.05",2022-07-02T09:00:00,83.4,89.8,73.5,72.18,0.012,100,rain,0,0,5.8,5.1,165.8,1009,0.9,8.4,588,2.1,6,60,Rain,rain,remote
"36.19,119.05",2022-07-02T10:00:00,85.2,92.9,74,69.37,0.02,100,rain,0,0,7.8,7.4,175.3,1008,0.4,15,743,2.7,7,75,Rain,rain,remote
"36.19,119.05",2022-07-02T11:00:00,86.6,93,71.9,61.6,0,0,,0,0,13.4,4.5,160,1009.1,4.9,18.6,858,3.1,9,60,Clear,clear-day,54843099999
"36.19,119.05",2022-07-02T12:00:00,89.1,97,72.8,58.63,0.004,100,rain,0,0,7.2,6.9,170.4,1008,27.9,15,920,3.3,9,60,"Rain, Partially cloudy",rain,remote
"36.19,119.05",2022-07-02T13:00:00,89.1,97,72.8,58.63,0.028,100,rain,0,0,8.1,7.8,164.8,1007,19.8,14.5,916,3.3,9,60,Rain,rain,remote
"36.19,119.05",2022-07-02T14:00:00,89.9,101.9,76.2,64.27,0,0,,0,0,15.7,8.9,120,1007.5,15.4,18.6,874,3.1,9,60,Clear,clear-day,54843099999
"36.19,119.05",2022-07-02T15:00:00,88.6,96,72.4,58.92,0,0,,0,0,9.6,9.2,163.2,1007,100,15,760,2.7,8,60,Overcast,cloudy,remote
"36.19,119.05",2022-07-02T16:00:00,88.1,95.6,72.8,60.67,0.004,100,rain,0,0,10.5,10.3,164.8,1007,100,15,595,2.1,6,60,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-02T17:00:00,88.1,97.8,74.9,65.23,0,0,,0,0,17.9,8.9,140,1006.4,100,18.6,394,1.4,4,75,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-02T18:00:00,83.4,91.2,75.3,76.66,0,0,,0,0,16.8,13.2,153.5,1006,100,15,228,0.8,2,75,Overcast,cloudy,remote
"36.19,119.05",2022-07-02T19:00:00,79.6,79.6,74.7,85.14,0,0,,0,0,18.1,11.4,152.2,1006,71,15,76,0.3,1,60,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-02T20:00:00,80.9,86.8,75.5,83.69,0,0,,0,0,17.9,6.7,150,1007.6,41.3,13.7,4,0,0,30,Partially cloudy,partly-cloudy-night,54843099999
"36.19,119.05",2022-07-02T21:00:00,75.6,75.6,72.4,89.7,0,0,,0,0,18.6,7.4,150.5,1008,58.7,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-02T22:00:00,75.1,75.1,72.2,90.78,0,0,,0,0,18.6,6.9,161.2,1008,100,15,0,,0,3,Overcast,cloudy,remote
"36.19,119.05",2022-07-02T23:00:00,78.2,78.2,72.6,83.02,0,0,,0,0,17.9,8.9,150,1008.6,100,13.7,0,,0,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-03T00:00:00,74.4,74.4,71.7,91.31,0,0,,0,0,18.3,6.7,163.1,1009,100,15,0,,0,3,Overcast,cloudy,remote
"36.19,119.05",2022-07-03T01:00:00,73.7,73.7,71.5,92.97,0,0,,0,0,16.8,6.3,166.3,1008,75.5,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-03T02:00:00,76.7,76.7,72.2,86.02,0,0,,0,0,17.9,8.9,150,1007.9,100,11.8,0,,0,3,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-03T03:00:00,73.5,73.5,71.5,93.54,0,0,,0,0,14.3,5.4,169.2,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.19,119.05",2022-07-03T04:00:00,73.1,73.1,71.5,94.68,0,0,,0,0,11.6,4.7,166.3,1007,100,15,0,,0,3,Overcast,cloudy,remote
"36.19,119.05",2022-07-03T05:00:00,75.3,75.3,72.8,91.9,0,0,,0,0,17.9,4.5,140,1007.4,100,8.7,0,,0,3,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-03T06:00:00,74,74,72.1,93.55,0,0,,0,0,11.4,5.6,163.6,1007,99.1,15,36,0.1,0,3,Overcast,cloudy,remote
"36.19,119.05",2022-07-03T07:00:00,76.2,76.2,72.2,87.57,0,0,,0,0,11.4,7.4,174.6,1007,96.8,15,161,0.6,2,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-03T08:00:00,78,78,74,87.66,0,0,,0,0,17.9,8.9,150,1007.1,76.4,8.1,347,1.2,3,10,Partially cloudy,partly-cloudy-day,54843099999
"36.19,119.05",2022-07-03T09:00:00,80.7,85.3,72.9,77.37,0,0,,0,0,7.4,6.5,156.5,1007,69.9,15,541,1.9,5,10,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-03T10:00:00,82.5,88.3,73.3,73.86,0,0,,0,0,8.9,8.5,149.1,1007,64.6,15,669,2.4,7,30,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-03T11:00:00,80,80,74.9,84.65,0,0,,0,0,17.9,6.7,160,1007,100,10.6,679,2.4,7,30,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-03T12:00:00,83.7,89.7,72.6,69.22,0.004,100,rain,0,0,12.8,11.6,153.4,1006,100,15,489,1.8,5,30,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-03T13:00:00,83.6,89.1,72.1,68.36,0,0,rain,0,0,13.4,12.3,153.8,1006,100,15,434,1.6,4,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-03T14:00:00,84.5,91.9,74,70.99,0,0,,0,0,17.9,6.7,160,1006.1,100,17.4,495,1.8,5,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-03T15:00:00,83.6,89.3,72.4,69.2,0,0,,0,0,13.2,12.5,151.6,1005,100,15,483,1.7,5,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-03T16:00:00,83.4,88.9,72.2,69.18,0,0,,0,0,12.1,11.9,149.2,1005,100,15,475,1.7,5,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-03T17:00:00,82.7,88.9,73.7,74.33,0,0,,0,0,17.9,8.9,140,1004.3,100,18.6,159,0.6,2,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-03T18:00:00,79.2,79.2,72.8,80.61,0,0,,0,0,15.2,9.6,130.5,1005,100,15,61,0.2,1,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-03T19:00:00,77.8,77.8,72.8,84.52,0,0,,0,0,14.8,8.9,134.5,1005,65.4,15,39,0.1,0,10,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-03T20:00:00,79.8,79.8,74.6,84.13,0,0,,0,0,17.9,6.7,140,1005,15.7,14.3,2,0,0,10,Clear,clear-night,54843099999
"36.19,119.05",2022-07-03T21:00:00,75.1,75.1,72.1,90.23,0,0,,0,0,18.8,8.9,146.5,1005,62.4,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-03T22:00:00,74.2,74.2,71.9,92.42,0,0,,0,0,19.2,7.6,154.7,1005,25,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-03T23:00:00,78,78,73.7,86.61,0,0,,0,0,15.7,8.9,150,1005.1,96.6,10.6,0,,0,3,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-04T00:00:00,73.5,73.5,72.1,95.26,0,0,,0,0,14.3,5.1,151.3,1005,55.5,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-04T01:00:00,73.3,73.3,71.9,95.26,0,0,,0,0,14.8,5.6,150.6,1005,53.2,15,0,,0,3,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-04T02:00:00,77.6,77.6,73.1,86.07,0,0,,0,0,15.7,4.5,160,1004.4,100,12.4,0,,0,3,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-04T03:00:00,72.9,72.9,71.7,95.83,0,0,,0,0,11.4,4.7,153.7,1003,100,15,0,,0,3,Overcast,cloudy,remote
"36.19,119.05",2022-07-04T04:00:00,72.8,72.8,71.7,96.42,0,0,,0,0,9.2,4.9,155.5,1003,100,15,0,,0,3,Overcast,cloudy,remote
"36.19,119.05",2022-07-04T05:00:00,76.7,76.7,72.8,87.6,0,0,,0,0,15.7,6.7,150,1003.6,100,11.8,0,,0,3,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-04T06:00:00,73.7,73.7,71.9,94.11,0,0,,0,0,10.7,5.6,177.4,1003,74.8,15,29,0.1,0,3,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-04T07:00:00,76.4,76.4,72.2,87.05,0,0,,0,0,11,6.5,184.4,1003,86.8,15,181,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-04T08:00:00,78.5,78.5,73.7,85.08,0,0,rain,0,0,15.7,6.7,150,1004.2,100,9.9,316,1.1,3,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-04T09:00:00,80.1,84.6,73.7,80.68,0.035,100,rain,0,0,11,7.8,181.4,1003,100,8.6,387,1.4,4,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-04T10:00:00,79.8,79.8,74,82.62,0.059,100,rain,0,0,8.9,5.4,192.9,1003,100,6,247,0.9,2,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-04T11:00:00,79.8,79.8,74.9,85.15,0,0,,0,0,15.7,4.5,170,1004.3,100,5.6,50,0.2,1,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-04T12:00:00,78,78,74.4,88.72,0.008,100,rain,0,0,10.7,5.1,159.7,1003,100,15,62,0.2,1,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-04T13:00:00,79.6,79.6,73.8,82.61,0,0,,0,0,11.4,6.7,165.7,1003,75.9,15,189,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-04T14:00:00,82.1,89.2,75.5,80.33,0,0,,0,0,15.7,6.7,150,1003.6,63.4,9.3,681,2.5,7,10,Partially cloudy,partly-cloudy-day,54843099999
"36.19,119.05",2022-07-04T15:00:00,85.7,93,73.3,66.55,0,0,,0,0,13.2,10.5,174.4,1002,43.1,15,637,2.3,6,30,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-04T16:00:00,85.6,93.1,73.7,67.75,0,0,,0,0,14.5,12.3,178.8,1002,86.2,15,586,2.1,6,30,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-04T17:00:00,83,90.8,75.5,78.03,0,0,,0,0,15.7,6.7,140,1002.6,100,9.3,389,1.4,4,30,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-04T18:00:00,79.8,79.8,74.4,83.63,0.024,100,rain,0,0,15.7,9.4,186.3,1002,100,8.8,121,0.4,1,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-04T19:00:00,78.3,78.3,74.4,87.68,0.012,100,rain,0,0,13.4,6.7,172.5,1002,98.7,15,70,0.3,1,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-04T20:00:00,80,80,75.3,85.67,0,0,,0,0,15.7,4.5,130,1003.3,99.8,11.2,4,0,0,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-04T21:00:00,76,76,73.1,90.81,0,0,,0,0,7.6,4.9,157.4,1004,78.6,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-04T22:00:00,75.5,75.5,72.6,90.79,0,0,,0,0,7.8,4.9,174,1004,44.9,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-04T23:00:00,77.6,77.6,74.9,91.42,0,0,,0,0,13.4,4.5,140,1004.9,72.4,9.3,0,,0,10,Partially cloudy,partly-cloudy-night,54843099999
"36.19,119.05",2022-07-05T00:00:00,74.7,74.7,72.1,91.32,0,0,,0,0,6.5,4.3,170.4,1005,74.9,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-05T01:00:00,75.1,75.1,72.1,90.23,0,0,,0,0,7.4,4.5,159.2,1004,96.3,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-05T02:00:00,75.8,75.8,72.8,90.26,0,0,,0,0,13.4,6.7,150,1004.6,100,6.8,0,,0,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-05T03:00:00,73.8,73.8,71.9,93.55,0,0,,0,0,9.8,5.4,177.8,1004,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-05T04:00:00,73.7,73.7,71.7,93.54,0,0,,0,0,6.5,4.5,189.7,1004,99.7,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-05T05:00:00,76.2,76.2,72.8,89.18,0,0,,0,0,13.4,4.5,150,1004.4,99.6,10.6,0,,0,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-05T06:00:00,74.7,74.7,72.4,92.44,0,0,,0,0,7.8,4.5,179.4,1004,100,15,40,0.1,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-05T07:00:00,76.7,76.7,72.4,86.54,0,0,,0,0,9.2,6,176.5,1004,100,15,158,0.6,2,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-05T08:00:00,81.2,86.7,74,78.83,0,0,,0,0,13.4,4.5,140,1004.1,98.5,14.3,252,0.9,3,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-05T09:00:00,80.9,84.9,71.3,72.82,0,0,,0,0,8.5,6.5,170.6,1004,80.4,15,523,1.9,5,10,Partially cloudy,partly-cloudy-day,remote
"36.19,119.05",2022-07-05T10:00:00,83.2,88.3,71.7,68.32,0,0,,0,0,8.1,6.9,157.8,1004,95.5,15,707,2.5,7,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-05T11:00:00,84.8,91.3,72.8,67.26,0,0,,0,0,13.4,6.7,170,1003.5,100,11.8,562,2,6,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-05T12:00:00,80.9,85.2,72.1,74.62,0,0,,0,0,10.5,8.9,167.4,1004,100,15,210,0.8,2,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-05T13:00:00,78,78,72.2,82.51,0.008,100,rain,0,0,10.5,6.7,175.9,1004,100,12.6,113,0.4,1,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-05T14:00:00,84.3,91.6,74,71.4,0,0,rain,0,0,15.7,8.9,140,1002.9,100,18.6,70,0.3,1,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-05T15:00:00,75.8,75.8,72.6,89.71,0.016,100,rain,0,0,7.8,3.1,169.4,1003,100,6.8,41,0.1,0,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-05T16:00:00,75.3,75.3,72.9,92.46,0.028,100,rain,0,0,6.9,2.5,199.9,1003,100,8.9,21,0.1,0,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-05T17:00:00,82.7,90,75.3,78.47,0,0,rain,0,0,15.7,6.7,150,1002.1,100,18,33,0.1,0,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-05T18:00:00,74.9,74.9,73.3,94.71,0.012,100,rain,0,0,7.4,2.7,97.4,1003,100,14.9,13,0,0,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-05T19:00:00,74.7,74.7,73.1,94.71,0.004,100,rain,0,0,10.1,4,75,1003,98.6,15,4,0,0,10,"Rain, Overcast",rain,remote
"36.19,119.05",2022-07-05T20:00:00,79.1,79.1,74.9,87.19,0,0,,0,0,15.7,4.5,130,1003,100,11.8,1,0,0,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-05T21:00:00,74.9,74.9,73.3,94.71,0,0,,0,0,15.9,5.1,122.6,1003,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-05T22:00:00,74.7,74.7,73.1,94.71,0,0,,0,0,17.7,6,113,1003,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-05T23:00:00,77.6,77.6,74.4,89.78,0,0,rain,0,0,15.7,4.5,130,1003.5,100,8.1,0,,0,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-06T00:00:00,73.8,73.8,72.6,95.85,0,0,rain,0,0,17.7,5.6,108.9,1002,100,8.1,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T01:00:00,73.3,73.3,72.6,97.6,0,0,rain,0,0,18.3,6.5,78,1002,100,8.9,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T02:00:00,76.4,76.4,74.9,95.32,0,0,rain,0,0,15.7,4.5,120,1001.4,100,5.6,0,,0,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-06T03:00:00,73.3,73.3,72.8,98.2,0,0,rain,0,0,22.8,11,77.8,1001,100,1.6,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T04:00:00,73.3,73.3,72.6,97.6,0,0,rain,0,0,27.7,15.4,76.8,999,100,1,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T05:00:00,75.8,75.8,74.9,97.04,0.039,100,rain,0,0,13.4,2.2,100,1001.2,100,2.5,0,,0,10,"Rain, Overcast",rain,54843099999
"36.19,119.05",2022-07-06T06:00:00,73.3,73.3,72.6,97.6,0,0,rain,0,0,29.8,13.9,95,999,100,0.8,1,0,0,10,Overcast,fog,remote
"36.19,119.05",2022-07-06T07:00:00,73.7,73.7,73.3,98.8,0,0,rain,0,0,28.9,13.2,101.9,999,100,0.2,3,0,0,10,Overcast,fog,remote
"36.19,119.05",2022-07-06T08:00:00,76.7,76.7,76.2,98.22,0.394,100,rain,0,0,13.4,6.7,100,999.7,100,1.9,11,0,0,10,"Rain, Overcast",rain,54843099999
"36.19,119.05",2022-07-06T09:00:00,75.3,75.3,74.7,98.21,0,0,rain,0,0,23.9,11.9,126.5,999,100,0.1,12,0,0,10,Overcast,fog,remote
"36.19,119.05",2022-07-06T10:00:00,76.4,76.4,75.6,97.63,0,0,,0,0,21.9,10.3,136.7,999,100,0.1,69,0.2,1,10,Overcast,fog,remote
"36.19,119.05",2022-07-06T11:00:00,79.8,79.8,78.2,94.82,0,0,rain,0,0,15.7,6.7,130,998.4,100,5.6,159,0.6,2,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-06T12:00:00,80.9,87.5,76.7,87.27,0,0,rain,0,0,13,8.5,152.5,998,100,9.4,376,1.4,4,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T13:00:00,80.1,86,76.7,89.35,0,0,rain,0,0,10.1,5.4,143.5,998,100,4.2,112,0.4,1,30,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T14:00:00,80,80,78.9,96.52,0.118,100,rain,0,0,15.7,4.5,110,997,100,1.2,225,0.8,2,30,"Rain, Overcast",rain,54843099999
"36.19,119.05",2022-07-06T15:00:00,80,80,76.9,90.42,0,0,rain,0,0,13.2,6.7,235.3,996,100,3.3,70,0.3,1,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T16:00:00,76.2,76.2,74.7,95.31,0,0,rain,0,0,17,10.3,280.9,997,100,2.4,15,0.1,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T17:00:00,79.8,79.8,79.1,97.67,0.945,100,rain,0,0,22.4,11.2,130,995,100,2.5,14,0.1,0,10,"Rain, Overcast",rain,54843099999
"36.19,119.05",2022-07-06T18:00:00,74.9,74.9,73.3,94.71,0,0,rain,0,0,20.4,8.7,304.1,997,100,3.9,5,0,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T19:00:00,74.2,74.2,72.9,95.85,0,0,rain,0,0,21.3,9.2,315.6,998,100,10.6,2,0,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T20:00:00,76.4,76.4,74.9,95.32,0.354,100,rain,0,0,22.4,8.9,260,996.8,100,2.5,0,,0,10,"Rain, Overcast",rain,54843099999
"36.19,119.05",2022-07-06T21:00:00,74.7,74.7,72.8,93.57,0,0,,0,0,24.4,11.4,310.4,999,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T22:00:00,74.4,74.4,72.2,92.99,0,0,,0,0,24.8,13.4,309.8,999,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-06T23:00:00,74.4,74.4,73.7,97.61,0,0,,0,0,22.4,6.7,280,999,92,2.5,0,,0,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-07T00:00:00,73.3,73.3,71.7,94.68,0,0,,0,0,26.8,14.5,316.6,1000,96.5,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-07T01:00:00,73.5,73.5,71.5,93.54,0,0,,0,0,22.8,11.6,314.9,1000,69.1,15,0,,0,10,Partially cloudy,partly-cloudy-night,remote
"36.19,119.05",2022-07-07T02:00:00,73.7,73.7,72.8,97.02,0.039,100,rain,0,0,22.4,6.7,280,999.5,78.6,2.5,0,,0,10,"Rain, Partially cloudy",rain,54843099999
"36.19,119.05",2022-07-07T03:00:00,73.3,73.3,70.8,91.83,0,0,,0,0,23.3,12.5,311.1,1000,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-07T04:00:00,72.8,72.8,70.6,92.95,0,0,,0,0,23,11.6,308.2,1001,100,15,0,,0,10,Overcast,cloudy,remote
"36.19,119.05",2022-07-07T05:00:00,73.1,73.1,72.8,98.79,0,0,,0,0,20.1,8.9,300,1001.1,93,1.9,0,,0,10,Overcast,cloudy,54843099999
"36.19,119.05",2022-07-07T06:00:00,73.3,73.3,70.6,91.27,0,0,,0,0,23.9,12.1,296.1,1001,45.3,15,20,0.1,0,10,Partially cloudy,partly-cloudy-day,remote
