name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"37.44,117.15",2022-11-28T00:00:00,44.7,39.5,43.2,94.65,0.028,100,rain,0,0,15,9.8,336.1,1013,100,8.1,0,,0,10,"Rain, Overcast",rain,remote
"37.44,117.15",2022-11-28T01:00:00,44,39.2,42,92.69,0.012,100,rain,0,0,14.3,8.5,359.4,1012,100,15,0,,0,10,"Rain, Overcast",rain,remote
"37.44,117.15",2022-11-28T02:00:00,44,39.2,41.6,91.41,0,0,rain,0,0,13.4,8.5,343.4,1013,100,15,0,,0,10,Overcast,cloudy,remote
"37.44,117.15",2022-11-28T03:00:00,43.6,39,41.6,92.68,0.024,100,rain,0,0,12.8,8.1,341.7,1013,100,6.4,0,,0,10,"Rain, Overcast",rain,remote
"37.44,117.15",2022-11-28T04:00:00,43.6,38.5,41.6,92.68,0.031,100,rain,0,0,14.3,9.2,343.6,1013,100,9.5,0,,0,10,"Rain, Overcast",rain,remote
"37.44,117.15",2022-11-28T05:00:00,43.4,38.4,41.1,91.39,0.02,100,rain,0,0,13.9,8.7,343.6,1013,100,14.9,0,,0,10,"Rain, Overcast",rain,remote
"37.44,117.15",2022-11-28T06:00:00,43.2,37.9,40.7,90.75,0.008,100,rain,0,0,13.2,9.4,335.6,1013,100,13.5,0,,0,10,"Rain, Overcast",rain,remote
"37.44,117.15",2022-11-28T07:00:00,42.5,36.9,39.8,90.09,0.02,100,rain,0,0,15,9.6,338.6,1014,100,11.2,0,,0,10,"Rain, Overcast",rain,remote
"37.44,117.15",2022-11-28T08:00:00,43.1,38.8,40,88.86,0.004,100,rain,0,0,12.5,7.2,343.4,1014,100,15,1,0,0,10,"Rain, Overcast",rain,remote
"37.44,117.15",2022-11-28T09:00:00,44.1,39.1,40.5,87.07,0,0,,0,0,15.4,9.2,341.8,1015,100,15,11,0,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T10:00:00,44.3,39.1,40.5,86.48,0,0,,0,0,17.7,9.8,336.2,1016,100,15,17,0.1,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T11:00:00,45,39.9,40.9,85.32,0,0,,0,0,17.2,10.1,343.3,1016,100,15,32,0.1,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T12:00:00,46.3,41.6,41.6,83.64,0,0,,0,0,14.8,9.6,349.2,1016,100,15,67,0.2,1,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T13:00:00,46.7,41.7,41.8,83.09,0,0,,0,0,15.2,10.5,358.1,1016,100,15,60,0.2,1,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T14:00:00,47.2,42.7,42.2,82.55,0,0,,0,0,14.1,9.6,352.5,1016,100,15,60,0.2,1,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T15:00:00,47.9,43.9,41.8,79.24,0,0,,0,0,13.6,8.9,344.3,1018,100,15,66,0.2,1,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T16:00:00,48.6,45.6,41.8,77.13,0,0,,0,0,13,6.9,352.2,1018,100,15,93,0.3,1,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T17:00:00,46.8,43.9,41.6,81.95,0,0,,0,0,8.7,6,345.4,1019,100,15,25,0.1,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T18:00:00,46.1,46.1,41.1,82.47,0,0,,0,0,3.1,2.9,352.5,1020,100,15,0,,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T19:00:00,47,45.2,40.5,78.07,0,0,,0,0,4.7,4.3,353.9,1019,100,15,0,,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T20:00:00,46.7,43.3,37.1,69.24,0,0,,0,0,17,6.7,331.1,1020,100,15,0,,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T21:00:00,46.1,39.5,22.5,39.04,0,0,,0,0,31.1,15.7,359.4,1021,100,15,0,,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T22:00:00,43.1,35,5.6,20.9,0,0,,0,0,35.3,17.9,0.5,1022,100,15,0,,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-28T23:00:00,41.8,33.3,5.6,21.93,0,0,,0,0,30.2,18.1,4.6,1024,100,15,0,,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-29T00:00:00,37.8,27.7,2.7,22.41,0,0,,0,0,34.2,19.9,4.8,1025,1.7,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T01:00:00,35,24,1.5,23.69,0,0,,0,0,35.8,19.5,3.5,1027,0,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T02:00:00,32.6,21.6,0.4,24.73,0,0,,0,0,35.6,17.4,6.1,1028,0.1,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T03:00:00,31.4,19.9,1.1,26.91,0,0,,0,0,35.1,17.4,0.5,1028,0,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T04:00:00,30.3,18.8,1.5,28.59,0,0,,0,0,33.1,16.8,7.5,1029,0,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T05:00:00,29.4,18.1,1.8,30.15,0,0,,0,0,29.5,15.4,12.4,1030,0,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T06:00:00,27.9,15.4,0.4,29.91,0,0,,0,0,33.8,17.9,11.5,1031,3.6,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T07:00:00,27,14.7,-0.9,29.25,0,0,,0,0,33.1,16.6,5.5,1032,45,15,0,,0,10,Partially cloudy,partly-cloudy-night,
"37.44,117.15",2022-11-29T08:00:00,27.4,15.4,-0.7,29.07,0,0,,0,0,31.1,15.9,7.8,1034,0,15,37,0.1,0,10,Clear,clear-day,
"37.44,117.15",2022-11-29T09:00:00,28.8,16.5,-3,24.53,0,0,,0,0,31.1,17.9,11.7,1034,5,15,194,0.7,2,10,Clear,clear-day,
"37.44,117.15",2022-11-29T10:00:00,30.6,18.5,-4.1,21.65,0,0,,0,0,27.1,19,8.4,1035,90,15,349,1.3,3,10,Partially cloudy,partly-cloudy-day,
"37.44,117.15",2022-11-29T11:00:00,31.7,20.1,-4.5,20.37,0,0,,0,0,23.9,18.6,5.4,1036,100,15,443,1.6,4,10,Overcast,cloudy,
"37.44,117.15",2022-11-29T12:00:00,32.1,20.9,-5,19.56,0,0,,0,0,23.5,17.4,0.3,1035,100,15,412,1.5,4,10,Overcast,cloudy,
"37.44,117.15",2022-11-29T13:00:00,32.3,20.8,-5.9,18.6,0,0,,0,0,22.8,18.3,355.2,1036,99.8,15,400,1.4,4,10,Overcast,cloudy,
"37.44,117.15",2022-11-29T14:00:00,30.8,17.9,-12.9,13.96,0,0,,0,0,25.7,22.1,353.8,1036,100,15,353,1.3,4,10,Overcast,cloudy,
"37.44,117.15",2022-11-29T15:00:00,29.4,16.2,-15.4,13.04,0,0,,0,0,24.8,21.3,355.9,1037,100,15,285,1,3,10,Overcast,cloudy,
"37.44,117.15",2022-11-29T16:00:00,28.5,16.7,-13.8,14.68,0,0,,0,0,23,16.1,2.6,1037,90.1,15,152,0.5,2,10,Overcast,cloudy,
"37.44,117.15",2022-11-29T17:00:00,26.1,13.5,-14.7,15.44,0,0,,0,0,22.1,16.6,8.3,1038,0.8,15,30,0.1,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T18:00:00,23.6,10,-16.7,15.51,0,0,,0,0,27.3,17.2,7,1039,5,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T19:00:00,22.2,8,-18.9,14.75,0,0,,0,0,30,17.4,5.9,1040,98.5,15,0,,0,10,Overcast,cloudy,
"37.44,117.15",2022-11-29T20:00:00,21.6,7.6,-20.3,14.01,0,0,,0,0,30,16.8,4.1,1041,4.9,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T21:00:00,20.7,6.9,-20.8,14.15,0,0,,0,0,30.4,15.7,359.1,1043,0.2,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T22:00:00,19.8,6,-20.7,14.84,0,0,,0,0,28,15,2.4,1043,0,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-29T23:00:00,19.3,6.4,-19.8,15.91,0,0,,0,0,24.2,12.8,4.2,1044,0,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-30T00:00:00,18.9,6.6,-18.9,16.93,0,0,,0,0,22.4,11.6,0.5,1044,0,15,0,,0,10,Clear,clear-night,
"37.44,117.15",2022-11-30T01:00:00,18.6,6.6,-18.5,17.51,0,0,,0,0,21.3,10.7,351.5,1044,0,15,0,,0,10,Clear,clear-night,
